name,type,lng,lat
怡然美口腔门诊,医疗保健服务;专科医院;口腔医院,117.18981580440429,39.13754724717603
达仁堂养生坊,医疗保健服务;综合医院;综合医院,117.19321578724895,39.156522376177435
达仁堂医院,医疗保健服务;医药保健销售店;医疗保健用品|医疗保健服务;医药保健销售店;药房|医疗保健服务;综合医院;综合医院,117.1930605298414,39.156662046722964
中国人民解放军联勤保障部队第九八三医院体检,医疗保健服务;综合医院;三级甲等医院,117.18415847718175,39.15986429075187
河北区鸿顺里街社区卫生服务中心,医疗保健服务;综合医院;卫生院,117.1895927402959,39.15891108627884
中国人民解放军联勤保障部队第九八三医院发热门诊,医疗保健服务;综合医院;三级甲等医院,117.18520225239953,39.160056984404655
三条石街社区卫生服务中心,医疗保健服务;综合医院;卫生院,117.16831024332835,39.15387500729433
紫洁医疗美容,医疗保健服务;专科医院;整形美容,117.1732004809243,39.1376368463579
天津河北红星门诊部,医疗保健服务;诊所;诊所,117.19807946609114,39.14474187652575
中国人民解放军联勤保障部队第九八三医院急救中心,医疗保健服务;综合医院;三级甲等医院,117.18451400261934,39.16057248748851
济民中西医门诊部(宙纬路),医疗保健服务;诊所;诊所,117.18905176376563,39.15964675179282
天津南开花升医疗美容诊所,医疗保健服务;专科医院;整形美容,117.1698509610085,39.13956845874782
中国人民解放军联勤保障部队第九八三医院门诊部,医疗保健服务;综合医院;三级甲等医院,117.18449896031474,39.160701384802024
中国人民解放军联勤保障部队第九八三医院急诊部,医疗保健服务;综合医院;三级甲等医院,117.1845480342944,39.16078641940474
鑫昇口腔,医疗保健服务;专科医院;口腔医院,117.19873234029323,39.14506664222723
中国人民解放军联勤保障部队第九八三医院,医疗保健服务;综合医院;三级甲等医院,117.18516410066475,39.16073851356544
和平凯尔口腔,医疗保健服务;专科医院;口腔医院,117.1809259359279,39.13502547627495
红桥区口腔医院,医疗保健服务;专科医院;口腔医院,117.16786129051357,39.15471066914352
申兵口腔,医疗保健服务;专科医院;口腔医院,117.19755255689476,39.153936591174606
天津河北仁恒口腔,医疗保健服务;专科医院;口腔医院,117.19837889025564,39.15263559216293
尚典口腔,医疗保健服务;专科医院;口腔医院,117.17119373482642,39.137585154360345
康齿口腔门诊(狮子林大街),医疗保健服务;专科医院;口腔医院|医疗保健服务;诊所;诊所,117.19986448170494,39.1483603096897
天津河北春雨齿科门诊部,医疗保健服务;专科医院;口腔医院,117.19159988424691,39.15951800686366
舒欣口腔(红桥店),医疗保健服务;专科医院;口腔医院,117.16547917623627,39.15171100046983
天津河北天康皮肤科门诊部,医疗保健服务;诊所;诊所,117.19382047933426,39.15838821951729
天津河北天昆中西医门诊部,医疗保健服务;诊所;诊所,117.19942945323486,39.1518006243435
敬善堂门诊部,医疗保健服务;诊所;诊所,117.16455194260413,39.14765369143651
中国人民解放军联勤保障部队第九八三医院住院部,医疗保健服务;综合医院;三级甲等医院,117.18486646566906,39.1617144197429
中山齿科,医疗保健服务;专科医院;口腔医院,117.1945996887122,39.15817256657992
圣恩门诊,医疗保健服务;诊所;诊所,117.19437833103213,39.158358111225816
中国人民解放军联勤保障部队第九八三医院辅助生殖中心,医疗保健服务;综合医院;三级甲等医院,117.18500469069008,39.16181459921008
天津和平欧亚肛肠医院,医疗保健服务;专科医院;专科医院,117.18453741109943,39.133960470821364
天津天润医院,医疗保健服务;综合医院;综合医院,117.19869512223194,39.15429906337237
天津和平欧亚肛肠医院(肛肠专科医院),医疗保健服务;专科医院;专科医院,117.18456145524729,39.133939525164934
宇辰口腔正畸种植美学中心,医疗保健服务;专科医院;口腔医院,117.20058574268413,39.146072710337705
御河湾社区卫生服务站,医疗保健服务;综合医院;卫生院,117.16639450176646,39.15487482591952
和平卓尔口腔,医疗保健服务;专科医院;口腔医院,117.17966682720616,39.13386192617266
长丰雅尔美种植·矫正口腔连锁,医疗保健服务;专科医院;口腔医院,117.16586121785905,39.14131194883654
河北金昆门诊部,医疗保健服务;诊所;诊所,117.20004514612866,39.152956819979714
常乐口腔,医疗保健服务;专科医院;口腔医院,117.19506804513209,39.13717387152873
聚华夏名医,医疗保健服务;诊所;诊所,117.16390705529436,39.145070032879595
中国人民解放军联勤保障部队第九八三医院药学楼,医疗保健服务;综合医院;三级甲等医院,117.18572886269529,39.162349528920736
皓雅康口腔,医疗保健服务;专科医院;口腔医院,117.20135140025184,39.14889909597824
理想口腔(河北店),医疗保健服务;专科医院;口腔医院,117.17314744944717,39.16075891239551
天津华博医院,医疗保健服务;专科医院;专科医院,117.16371669507163,39.145082669016226
津城中医医院,医疗保健服务;综合医院;综合医院,117.1659605116602,39.14047363885695
美吉拉(南城街店),医疗保健服务;专科医院;整形美容,117.16810786657757,39.1380810980042
爱康国宾悦府广场分院,医疗保健服务;综合医院;综合医院,117.17263573664587,39.13519627180675
三康六维中医馆,医疗保健服务;诊所;诊所,117.18311805543163,39.13307952663323
艾洁口腔,医疗保健服务;专科医院;口腔医院,117.17617790219931,39.16204672367939
爱康齿科(悦城分院),医疗保健服务;专科医院;口腔医院,117.17252354256713,39.13507413753161
裕德里社区卫生服务站,医疗保健服务;综合医院;卫生院,117.18494923186704,39.1330797156309
凯尔口腔,医疗保健服务;专科医院;口腔医院,117.17886647027328,39.133167904545424
和谐同方医疗整形,医疗保健服务;专科医院;整形美容,117.17884743746798,39.1331548780717
德倍尔口腔,医疗保健服务;专科医院;口腔医院,117.19079979241737,39.134358783850644
金蕾口腔,医疗保健服务;专科医院;口腔医院,117.19956621634252,39.15515881719884
熙和养元堂,医疗保健服务;诊所;诊所,117.19461751326641,39.15977264244917
家安中医院,医疗保健服务;综合医院;综合医院,117.1994609180302,39.140543419725866
天津河北志成门诊部,医疗保健服务;诊所;诊所,117.17980538862733,39.1629757462411
天津河北一联康中医诊所,医疗保健服务;诊所;诊所,117.17317843671043,39.16131463962227
澳朗口腔,医疗保健服务;专科医院;口腔医院,117.16282953015192,39.14897767545312
微创种植牙,医疗保健服务;专科医院;口腔医院,117.1901127462512,39.13389793679434
天津河北广济门诊部,医疗保健服务;诊所;诊所,117.19538569184861,39.1595429676712
臻皙·伊妮菲尔医疗美容诊所(南马路天佑城店),医疗保健服务;专科医院;整形美容,117.16707189538249,39.13821607835442
有鲤中医门诊部,医疗保健服务;诊所;诊所,117.17875931459936,39.132864894134165
阳光树口腔,医疗保健服务;专科医院;口腔医院,117.19003262929527,39.13379886482457
悦潼医疗美容·注射抗衰(南开大悦城店),医疗保健服务;专科医院;整形美容,117.17293540030295,39.134373323322684
京城预医,医疗保健服务;诊所;诊所,117.19811090252725,39.157469314051184
建国中医,医疗保健服务;综合医院;综合医院,117.19595142619573,39.136608569590585
天津河北民政中西医门诊部,医疗保健服务;诊所;诊所,117.20236697150725,39.14688770944819
健丽医美,医疗保健服务;专科医院;整形美容,117.17816425597236,39.132695920219184
四季源素医疗美容诊所,医疗保健服务;专科医院;整形美容,117.16664209160402,39.1381593079197
华美天颜美容门诊,医疗保健服务;专科医院;整形美容,117.17703218197134,39.1327608247269
天津市河北区昆胜门诊部,医疗保健服务;诊所;诊所,117.20261438128,39.14614449418479
吉康门诊部,医疗保健服务;诊所;诊所,117.16594972159511,39.138659710147536
知美口腔,医疗保健服务;专科医院;口腔医院,117.1641760904419,39.14091203374014
亮齿口腔(五马路店),医疗保健服务;专科医院;口腔医院,117.19005102040275,39.16257266644721
安洁口腔诊所,医疗保健服务;专科医院;口腔医院,117.1959134415041,39.13604485142161
河北区望海楼街社区卫生服务中心,医疗保健服务;综合医院;卫生院,117.20130062281869,39.15452666155084
天津市河北区昆纬路医院,医疗保健服务;综合医院;综合医院,117.20141977633007,39.15454981450351
西关街社区卫生服务站,医疗保健服务;综合医院;卫生院,117.16341163219593,39.141055516715866
金海鑫门诊部,医疗保健服务;诊所;诊所,117.19395928333702,39.16161252075426
上善中医,医疗保健服务;综合医院;综合医院|医疗保健服务;诊所;诊所,117.19600248964568,39.16044337760379
天津玖禾医疗美容诊所,医疗保健服务;专科医院;整形美容,117.18346083870613,39.13162200754418
众邦口腔,医疗保健服务;专科医院;口腔医院,117.18342477909091,39.1315959601873
君康门诊部,医疗保健服务;诊所;诊所,117.19781426058972,39.15922782799107
新春花苑社区卫生服务站,医疗保健服务;综合医院;卫生院,117.1617611460881,39.14407361835363
元道中医门诊部,医疗保健服务;诊所;诊所,117.20018077121458,39.15737537891469
天津市河北区采芝林大药房,医疗保健服务;诊所;诊所,117.20021782117779,39.15737543180348
天津马大夫长效针灸专科,医疗保健服务;诊所;诊所,117.19355056720167,39.16233444905313
爱牙仕口腔,医疗保健服务;专科医院;口腔医院,117.20003352298932,39.15776493629867
泳良口腔(河北店),医疗保健服务;专科医院;口腔医院,117.20142258270342,39.156111886945716
鑫成瑞口腔,医疗保健服务;专科医院;口腔医院,117.16235766651273,39.14092362507209
宗萨藏医诊所,医疗保健服务;诊所;诊所,117.1773840029467,39.13135931171095
大叶医疗美容,医疗保健服务;专科医院;整形美容,117.20439948705068,39.14705434853399
天津河北宝德门诊,医疗保健服务;诊所;诊所,117.17966489711613,39.164858377932404
天津河东怡华中医门诊部,医疗保健服务;诊所;诊所,117.20250990463633,39.14094347454283
泓益康中医馆,医疗保健服务;诊所;诊所,117.20128430849412,39.156845256399144
天津都市医院,医疗保健服务;综合医院;综合医院,117.17199685845871,39.1327025918055
天津都市医院(妇科),医疗保健服务;专科医院;专科医院,117.1719988637308,39.13269060276849
天津南开中诺口腔医院,医疗保健服务;专科医院;口腔医院,117.1666033408219,39.13561976567784
青春源·循上诊所,医疗保健服务;诊所;诊所,117.18304124718719,39.13050094987263
普济堂中医诊所,医疗保健服务;诊所;诊所,117.16465348168268,39.137043256242684
天津红桥西站皮肤医院,医疗保健服务;专科医院;专科医院,117.16035148786113,39.15208019495804
天津西站医院中医肿瘤科,医疗保健服务;专科医院;肿瘤医院,117.16034046751888,39.15207817564116
天津河北时光整形美容门诊部,医疗保健服务;专科医院;整形美容|医疗保健服务;诊所;诊所,117.19268803416223,39.13227708731224
天津西站医院-门诊楼,医疗保健服务;综合医院;综合医院,117.16027835029489,39.15208705466521
中医科,医疗保健服务;诊所;诊所,117.19654410756705,39.16182038272907
天津河北博大医院,医疗保健服务;专科医院;专科医院,117.19664926480469,39.16178556246375
西站口腔,医疗保健服务;专科医院;口腔医院,117.16018117255658,39.152056891756146
铁三院医院(宿纬路),医疗保健服务;综合医院;综合医院,117.19496164443399,39.16282336445442
天津和平拜尔口腔医院,医疗保健服务;专科医院;口腔医院,117.17515894932222,39.13106941971719
天津现代和美医院(胃肠专科),医疗保健服务;专科医院;专科医院,117.19687612227614,39.1338536339382
天津马虹长效针灸中医门诊部,医疗保健服务;诊所;诊所,117.20308168238962,39.156363021673435
天津马虹长效针灸中医门诊部,医疗保健服务;诊所;诊所,117.20308168238962,39.156363021673435
河北星耀口腔门诊部,医疗保健服务;专科医院;口腔医院,117.20552739700364,39.150528740797164
面资医疗美容诊所,医疗保健服务;专科医院;整形美容,117.17186973751456,39.13177991310851
月平口腔,医疗保健服务;专科医院;口腔医院,117.18075771367904,39.1659906630116
天津河北中山门诊部,医疗保健服务;诊所;诊所,117.20044185345711,39.159504484045584
天津河北现代和美医院(妇科),医疗保健服务;专科医院;妇科医院,117.19674896973405,39.13360459254854
奥雅齿誉口腔,医疗保健服务;专科医院;口腔医院,117.16133086390408,39.139944296560486
和平区南市街社区卫生服务中心,医疗保健服务;综合医院;卫生院,117.17976351693771,39.1297875614412
宋金亮门诊,医疗保健服务;诊所;诊所,117.20263697577073,39.15750273735984
红桥区芥园街社区卫生服务中心,医疗保健服务;综合医院;卫生院,117.15870603737294,39.147235035307716
海河诊所(南大道),医疗保健服务;诊所;诊所,117.16171772503678,39.13887666112742
宝齿口腔(河北旗舰店),医疗保健服务;专科医院;口腔医院,117.19959656015965,39.160680573829936
赋康中医,医疗保健服务;诊所;诊所,117.17152913735632,39.13148246002737
河东区春华街社区卫生服务中心,医疗保健服务;综合医院;卫生院,117.20555336852769,39.143073243299675
慧康门诊,医疗保健服务;诊所;诊所,117.16712859211295,39.133568986243404
众大口腔,医疗保健服务;专科医院;口腔医院,117.20527114643808,39.142193406952174
任安康门诊部,医疗保健服务;诊所;诊所,117.1602688173847,39.140408037915286
兴南街耀远里社区卫生服务站,医疗保健服务;诊所;诊所,117.16963053743068,39.13175475897673
天津南开天义厚堂中医门诊部,医疗保健服务;诊所;诊所,117.16329905553152,39.136054317071356
晟佳医养院,医疗保健服务;综合医院;综合医院,117.16099944845858,39.13832765134809
