name,type,lng,lat
天津微尔美口腔,医疗保健服务;专科医院;口腔医院,117.17415433841506,39.15275853759109
YMAY悦美医疗美容,医疗保健服务;专科医院;整形美容,117.18212444600232,39.13989766758646
天津河北长庚眼耳鼻喉医院,医疗保健服务;专科医院;耳鼻喉医院,117.1899189488965,39.15354382307186
孙思邈养生馆(尚都街店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.17401407937464,39.152746286230965
维他滴(天津旺海诊所),医疗保健服务;诊所;诊所,117.19138353640605,39.14374208454556
星玺未来医美·飞顿DPL黑金超光子,医疗保健服务;专科医院;整形美容,117.18063780182736,39.13992101319389
鸿甲堂,医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.19281940595978,39.14677757030053
三才神灸馆(鼓楼店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.17872731811137,39.14027636933574
中慈·星玺医疗美容,医疗保健服务;专科医院;整形美容,117.18048954128376,39.13988477024951
夜色撩人成人用品,医疗保健服务;医药保健销售店;医疗保健用品,117.18540713093661,39.15588981789366
极橙儿童齿科矫正中心(仁恒置地国际中心店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.18455570521564,39.13978998942352
本草门诊部,医疗保健服务;诊所;诊所,117.19104183039437,39.15293702371642
自然之声助听器(河北区中山路店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.19030055182168,39.15365138621335
瑞宇康(友谊新都校区),医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.19312085997309,39.14687798925045
艾思养眼世家健康管理中心(新世界百货店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.18332259420546,39.13955098404314
望海楼社区卫生服务站(金庭道店),医疗保健服务;综合医院;卫生院,117.19327885264428,39.14886404999325
佳顺国际母婴月子会所(天津之眼店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,117.19081478403982,39.14252688977554
益丰大药房(天津北开大街店),医疗保健服务;医药保健销售店;药房,117.17375454093518,39.15318654435978
