id,name,type,typecode,lng,lat
BV10711016,天泰路(地铁站),交通设施服务;地铁站;地铁站,150500,117.17740649038167,39.167290856628384
BX10022489,天泰路地铁站C口,交通设施服务;地铁站;出入口,150501,117.17842637884706,39.167052846795436
BX10022496,西站地铁站B口,交通设施服务;地铁站;出入口,150501,117.15988914924753,39.15581510578971
BV10040400,天津站(地铁站),交通设施服务;地铁站;地铁站,150500,117.20363080030546,39.13709730986167
BX10019250,天津站地铁站9号口,交通设施服务;地铁站;出入口,150501,117.20398209998864,39.13815814025068
BX10022726,天泰路地铁站B口,交通设施服务;地铁站;出入口,150501,117.17673431474162,39.16685489043157
BX09915402,西站地铁站出入口,交通设施服务;地铁站;出入口,150501,117.1595294843218,39.15576846477002
BV10043783,西站(地铁站),交通设施服务;地铁站;地铁站,150500,117.1572473958174,39.15462491853498
BX10020597,天津站地铁站8号口,交通设施服务;地铁站;出入口,150501,117.2055249939244,39.13785234747696
BX10029167,西站地铁站出入口,交通设施服务;地铁站;出入口,150501,117.1574025993029,39.15527781578684
BV10964705,福安大街(地铁站),交通设施服务;地铁站;地铁站,150500,117.17426769778626,39.12791668679974
BX10020598,天津站地铁站7号口,交通设施服务;地铁站;出入口,150501,117.20569725151812,39.13741283413564
BX09916236,福安大街地铁站D口,交通设施服务;地铁站;出入口,150501,117.17409833489323,39.128299143058335
BV10045180,二纬路(地铁站),交通设施服务;地铁站;地铁站,150500,117.16838751567047,39.12923795858353
BX10019256,天津站地铁站6号口,交通设施服务;地铁站;出入口,150501,117.20586953422043,39.13676644476674
BX09915684,福安大街地铁站B口,交通设施服务;地铁站;出入口,150501,117.17448309364471,39.12794606585784
BX10014530,二纬路地铁站B口,交通设施服务;地铁站;出入口,150501,117.16777025217993,39.13002432855881
BX10019257,天津站地铁站5号口,交通设施服务;地铁站;出入口,150501,117.20605780605088,39.13634493951936
BV10710997,外院附中(地铁站),交通设施服务;地铁站;地铁站,150500,117.18555256595631,39.17021257176565
BV10711007,新开河(地铁站),交通设施服务;地铁站;地铁站,150500,117.19663949677641,39.1677480144474
BV10044418,津湾广场(地铁站),交通设施服务;地铁站;地铁站,150500,117.20126055626173,39.1308728152219
BX10022716,新开河地铁站C2口,交通设施服务;地铁站;出入口,150501,117.19653240479961,39.167244150457066
BX10014642,津湾广场地铁站B口,交通设施服务;地铁站;出入口,150501,117.20090103628208,39.13122909411302
BV10040684,北站(地铁站),交通设施服务;地铁站;地铁站,150500,117.20152752019517,39.165609390418474
BX10014583,北站地铁站C口,交通设施服务;地铁站;出入口,150501,117.20044311738135,39.165343020396875
BX10014527,二纬路地铁站D口,交通设施服务;地铁站;出入口,150501,117.16873022349546,39.1287488950505
BX10014528,二纬路地铁站C口,交通设施服务;地铁站;出入口,150501,117.16781748945358,39.12885612353958
BX10022717,新开河地铁站B口,交通设施服务;地铁站;出入口,150501,117.19588741850421,39.16757597307814
BX10022492,外院附中地铁站C口,交通设施服务;地铁站;出入口,150501,117.18660433069896,39.17038726874688
BX10032674,新开河地铁站C1口,交通设施服务;地铁站;出入口,150501,117.19628802272865,39.1674466600118
BX10022490,北站地铁站D2口,交通设施服务;地铁站;出入口,150501,117.20214540080808,39.16498761606525
BX10022728,外院附中地铁站出入口,交通设施服务;地铁站;出入口,150501,117.18522199041642,39.170288957428234
BX10032675,新开河地铁站C3口,交通设施服务;地铁站;出入口,150501,117.19667258474257,39.16743225120172
BX10014640,津湾广场地铁站A口,交通设施服务;地铁站;出入口,150501,117.20170410351166,39.1311362754232
BX10014639,津湾广场地铁站C口,交通设施服务;地铁站;出入口,150501,117.20129767492995,39.13031920199259
BV10041973,广开四马路(地铁站),交通设施服务;地铁站;地铁站,150500,117.15536824566875,39.13654430394375
BX10014582,北站地铁站B口,交通设施服务;地铁站;出入口,150501,117.20107685737413,39.16616542978653
BX10022715,新开河地铁站A口,交通设施服务;地铁站;出入口,150501,117.19624784694915,39.16837205177413
BX10022491,外院附中地铁站D口,交通设施服务;地铁站;出入口,150501,117.18650811128948,39.17083584007233
BX10014643,津湾广场地铁站D口,交通设施服务;地铁站;出入口,150501,117.20227692044949,39.13053043433887
BX10022727,北站地铁站A口,交通设施服务;地铁站;出入口,150501,117.20249475263837,39.16574964507806
BV10710994,复兴路(地铁站),交通设施服务;地铁站;地铁站,150500,117.15202991122176,39.15464338258319
BX10014641,津湾广场地铁站E口,交通设施服务;地铁站;出入口,150501,117.20201153534191,39.13087386050874
BX10014614,广开四马路地铁站C口,交通设施服务;地铁站;出入口,150501,117.15600446471132,39.13611273150878
BX09907759,复兴路地铁站D口,交通设施服务;地铁站;出入口,150501,117.1528122671781,39.15499258700581
BX10014613,广开四马路地铁站A口,交通设施服务;地铁站;出入口,150501,117.15522092552463,39.13694679152058
BV09402260,同城商务区西于庄(地铁站),交通设施服务;地铁站;地铁站,150500,117.15973063468063,39.165394119794655
BX10014615,广开四马路地铁站B口,交通设施服务;地铁站;出入口,150501,117.15505572280591,39.136171956075096
BX09915124,同城商务区西于庄地铁站B口,交通设施服务;地铁站;出入口,150501,117.15998922308125,39.164563093114566
BX09907710,和平路地铁站B口,交通设施服务;地铁站;出入口,150501,117.19830507018466,39.126631131006775
BV10040153,和平路(地铁站),交通设施服务;地铁站;地铁站,150500,117.19835623810482,39.12586966774736
BX09915403,同城商务区西于庄地铁站D口,交通设施服务;地铁站;出入口,150501,117.15937997181383,39.16546542574267
BX09907760,复兴路地铁站A口,交通设施服务;地铁站;出入口,150501,117.1511963132737,39.155549344302095
BX09907708,和平路地铁站D口,交通设施服务;地铁站;出入口,150501,117.19748804718925,39.12556856301774
BX09907706,和平路地铁站C口,交通设施服务;地铁站;出入口,150501,117.19808384709835,39.125931228463756
BX09907709,和平路地铁站A口,交通设施服务;地铁站;出入口,150501,117.19899911335825,39.126033510284564
BX09907705,和平路地铁站H口,交通设施服务;地铁站;出入口,150501,117.20036295226978,39.12620137392417
BV11396199,西沽公园(地铁站),交通设施服务;地铁站;地铁站,150500,117.16420530622595,39.17112009046134
BX09907704,和平路地铁站E口,交通设施服务;地铁站;出入口,150501,117.1984564043273,39.12566493920209
BX09915400,西沽公园地铁站C1口,交通设施服务;地铁站;出入口,150501,117.16568008227208,39.17117082207329
BX09915401,西沽公园地铁站A口,交通设施服务;地铁站;出入口,150501,117.16282182155284,39.17016606474447
BX09915399,西沽公园地铁站C2口,交通设施服务;地铁站;出入口,150501,117.16629714063316,39.1720084836695
BV10041440,天奕商城(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18313812491698,39.14861122222484
BV10041771,大胡同商贸中心(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18021507952652,39.147545680027854
BV09331844,李公祠大街站(公交站),交通设施服务;公交车站;公交车站相关,150700,117.1840073978142,39.15052359737708
BV09188794,大胡同商贸城(公交站),交通设施服务;公交车站;公交车站相关,150700,117.17966021453127,39.14650330995647
BV10040520,通北路(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18586400677285,39.14722977848109
BV10040305,东马路(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18136748865768,39.14476740051867
BV11679035,狮子林桥(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18823000977878,39.14700092890712
BV10041439,金华桥(公交站),交通设施服务;公交车站;公交车站相关,150700,117.17644911321638,39.14854127131222
BV11677846,大悲院码头(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18203663952256,39.15294069387209
BV10702454,北城街站(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18229432836736,39.14319498548949
BV09271087,北门(公交站),交通设施服务;公交车站;公交车站相关,150700,117.17647961103603,39.14505541612651
BV11122073,北城街(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18229432836736,39.14319498548949
BV11677848,北门(鼓楼北)(公交站),交通设施服务;公交车站;公交车站相关,150700,117.17700258786842,39.144916453432565
BV10041431,永乐桥(公交站),交通设施服务;公交车站;公交车站相关,150700,117.17666613604541,39.15150489476835
BV11181469,估衣街站(公交站),交通设施服务;公交车站;公交车站相关,150700,117.17473622369162,39.146403411702344
BV10040562,城厢东路(公交站),交通设施服务;公交车站;公交车站相关,150700,117.17951547837968,39.142361535575
BV10040521,望海楼(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19019830150643,39.14641954450594
BV10040682,东北角(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18396741561537,39.14193367760252
BV10702445,金钢桥站(公交站),交通设施服务;公交车站;公交车站相关,150700,117.1893101668791,39.15189779988759
BV10044986,金明里(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19034806668975,39.15018553508475
BV09284405,金钢桥(南行)(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18926006531619,39.152053623677766
BV09284404,金钢桥(北行)(公交站),交通设施服务;公交车站;公交车站相关,150700,117.1893101668791,39.15189779988759
BV10040259,三条石(公交站),交通设施服务;公交车站;公交车站相关,150700,117.1733481664861,39.15017359391754
BV10044987,金庭里(公交站),交通设施服务;公交车站;公交车站相关,150700,117.19171040244454,39.148893524720464
BV10044985,元吉里(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18721834743855,39.15471960895999
BV09331878,北开花园(公交站),交通设施服务;公交车站;公交车站相关,150700,117.1757982487241,39.15379993738907
BV10040555,河北大街(公交站),交通设施服务;公交车站;公交车站相关,150700,117.17243574053074,39.14799121061275
BV10042136,元纬路(公交站),交通设施服务;公交车站;公交车站相关,150700,117.18368109344699,39.1563455528683
BV10044984,团结里(公交站),交通设施服务;公交车站;公交车站相关,150700,117.1850224562822,39.15600908339676
